"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","county","tract"
"Census Tract 102, Providence County, Rhode Island","","3577","470","","649","","769","","117","","0","","85","","0","","3196","302","47","54058","3618","2635","382","996","959","167","131","2635","1330","1305","7162","5214","669","8","225","580","5605","1138","19","225","31","44","007","010200"
"Census Tract 142, Providence County, Rhode Island","23905","1094","142","3725","148","2585","207","3885","62","625","38","645","32","975","16","805","1063","14","12","93427","1143","809","10","281","429","65","24","809","704","105","5188","3190","694","61","270","288","3360","859","221","314","29","44","007","014200"
"Census Tract 146, Providence County, Rhode Island","","2955","449","","318","","477","","321","","194","","87","","68","","2859","25","33","89329","3116","2380","14","627","1109","471","159","2380","2246","134","6580","5887","100","0","320","254","6141","281","0","393","0","44","007","014600"
"Census Tract 132.02, Providence County, Rhode Island","","3292","644","","347","","640","","53","","122","","193","","0","","3292","0","0","94978","3373","2223","0","468","867","571","317","2223","1960","263","5704","5553","31","0","52","68","5621","54","0","97","45","44","007","013202"
"Census Tract 137.01, Providence County, Rhode Island","","2367","342","","269","","240","","188","","143","","171","","22","","2174","80","27","62756","2467","1718","98","669","787","93","71","1718","975","743","4369","3474","279","37","364","79","3504","328","86","373","30","44","007","013701"
"Census Tract 138, Providence County, Rhode Island","","2991","396","","585","","411","","88","","144","","52","","9","","2879","61","17","83398","2991","1863","108","630","710","237","178","1863","1384","479","5031","4152","427","0","27","329","4481","562","165","48","0","44","007","013800"
"Census Tract 171, Providence County, Rhode Island","","1958","249","","119","","217","","96","","99","","129","","11","","1886","30","0","41880","2004","1657","222","586","653","149","47","1657","759","898","4433","2757","447","0","77","186","2884","536","74","115","30","44","007","017100"
"Census Tract 181, Providence County, Rhode Island","","1196","148","","108","","85","","30","","73","","32","","37","","931","44","141","43375","1216","1016","118","564","273","61","0","1016","186","830","2740","1855","254","3","60","360","2182","490","53","60","0","44","007","018100"
"Census Tract 184, Providence County, Rhode Island","60675","2810","586","14865","254","4940","281","5470","294","7035","287","3595","243","3400","0","-666666666","2736","11","33","50924","2851","2457","471","1073","568","217","128","2457","1102","1355","6217","4546","428","289","536","136","4615","473","371","549","0","44","007","018400"
"Census Tract 176, Providence County, Rhode Island","","1068","98","","68","","28","","37","","45","","18","","23","","817","103","52","35938","1098","950","207","385","240","100","18","950","230","720","2898","1499","582","24","115","370","1782","753","274","115","0","44","007","017600"
