Unnamed: 0,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
35,"Census Tract 35, Providence County, Rhode Island",,2894,289,,279,,821,,383,,325,,26,,88,,1767,404,25,58314,3028,2488,287,1264,777,122,38,2488,942,1546,4855,4082,248,0,378,147,4213,332,28,441,0,44,7,3500,,,,,58.35535006605019,13.34214002642008,11.535369774919614,766.8989547038327,62.13826366559485,37.86173633440514,84.07826982492276,15.92173017507724,2010
36,"Census Tract 36.01, Providence County, Rhode Island",21175.0,1142,95,3965.0,52,1335.0,141,2590.0,147,2130.0,168,2590.0,64,820.0,80,1390.0,507,110,0,42069,1235,912,221,400,144,129,18,912,327,585,2308,1560,54,66,382,171,1647,138,81,485,0,44,7,3601,18.54203152364273,36.054421768707485,16.38888888888889,14.698275862068966,41.05263157894737,8.906882591093117,24.23245614035088,312.66968325791856,64.14473684210526,35.85526315789473,67.59098786828423,32.40901213171577,2010
37,"Census Tract 36.02, Providence County, Rhode Island",,2061,34,,315,,86,,272,,277,,191,,27,,461,51,31,60938,2422,688,140,206,267,40,35,688,349,339,6710,4841,475,13,1018,220,5054,505,26,1181,0,44,7,3602,,,,,19.03385631709331,2.1056977704376547,20.348837209302324,391.4285714285714,49.27325581395349,50.72674418604651,72.14605067064083,27.853949329359168,2010
38,"Census Tract 37, Providence County, Rhode Island",,2093,248,,250,,235,,270,,284,,72,,6,,1323,148,26,39042,2180,1877,320,991,438,103,25,1877,582,1295,3691,2864,139,0,471,101,2949,155,0,490,0,44,7,3700,,,,,60.68807339449541,6.7889908256880735,17.048481619605756,486.5625,68.99307405434205,31.006925945657965,77.59414792739095,22.405852072609047,2010
39,"Census Tract 101.01, Providence County, Rhode Island",40180.0,2007,248,5530.0,168,2955.0,279,5250.0,222,3750.0,95,4195.0,75,1220.0,0,-666666666.0,1918,49,0,51949,2124,1604,74,583,681,194,72,1604,1076,528,3926,3622,80,0,10,64,3686,95,10,10,0,44,7,10101,20.01993024414549,20.396634615384617,17.964071856287426,31.852941176470587,90.30131826741996,2.306967984934087,4.613466334164588,2067.5675675675675,32.917705735660846,67.08229426433915,92.25674987264392,7.743250127356088,2010
40,"Census Tract 101.02, Providence County, Rhode Island",,1582,306,,213,,258,,88,,60,,37,,0,,1532,40,0,70543,1626,1599,126,636,561,251,25,1599,1115,484,3556,3292,77,40,0,122,3402,113,116,0,0,44,7,10102,,,,,94.2189421894219,2.4600246002460024,7.879924953095685,1169.047619047619,30.26891807379613,69.73108192620387,92.57592800899889,7.424071991001124,2010
41,"Census Tract 102, Providence County, Rhode Island",60780.0,3626,406,5350.0,387,6405.0,333,3595.0,182,1840.0,115,1270.0,52,380.0,91,2200.0,3534,26,0,46520,3640,2839,367,1119,979,314,60,2839,1227,1612,6686,5454,417,29,72,287,5622,528,217,113,0,44,7,10200,16.76227247655819,14.823455233291298,10.553398058252426,9.880239520958083,97.08791208791207,0.7142857142857143,12.927087002465656,673.5694822888283,56.78055653399085,43.21944346600916,81.57343703260544,18.42656296739456,2010
42,"Census Tract 103, Providence County, Rhode Island",,2043,226,,286,,299,,96,,26,,87,,5,,1954,20,0,48774,2063,1756,240,541,625,220,130,1756,1122,634,4284,3448,410,19,59,212,3550,539,71,68,0,44,7,10300,,,,,94.71643238002908,0.9694619486185166,13.66742596810934,631.6666666666666,36.10478359908883,63.89521640091116,80.48552754435107,19.514472455648928,2010
43,"Census Tract 104, Providence County, Rhode Island",,3190,327,,475,,410,,189,,50,,19,,13,,3028,89,33,45079,3190,2875,263,1143,1029,321,119,2875,1284,1591,6866,5792,583,7,47,387,5896,935,168,63,35,44,7,10400,,,,,94.92163009404388,2.7899686520376177,9.147826086956522,993.1558935361217,55.33913043478261,44.66086956521739,84.35770463151762,15.642295368482376,2010
44,"Census Tract 105.01, Providence County, Rhode Island",,1827,190,,333,,191,,77,,139,,16,,22,,1808,19,0,44079,1845,1836,115,857,635,196,33,1836,1083,753,4543,3486,394,0,52,400,3696,752,158,52,38,44,7,10501,,,,,97.99457994579946,1.029810298102981,6.2636165577342044,1496.5217391304348,41.01307189542484,58.98692810457516,76.73343605546995,23.26656394453005,2010
