"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","state","county","tract"
"Census Tract 303, Bristol County, Rhode Island","","2170","386","","400","","322","","224","","145","","105","","5","","","","","2105","65","0","121328","44","001","030300"
"Census Tract 309.01, Bristol County, Rhode Island","78975","2913","307","8445","426","14280","205","4890","133","2675","116","1615","153","3725","58","1310","","","","2845","20","35","85714","44","001","030901"
"Census Tract 304, Bristol County, Rhode Island","","1628","345","","214","","301","","184","","137","","51","","9","","","","","1513","85","0","142228","44","001","030400"
"Census Tract 307, Bristol County, Rhode Island","","1804","246","","269","","194","","90","","76","","132","","0","","","","","1676","11","0","38932","44","001","030700"
"Census Tract 305, Bristol County, Rhode Island","39840","1768","273","7735","164","2110","146","3415","58","835","99","1295","92","1035","42","880","","","","1523","35","0","40563","44","001","030500"
"Census Tract 306.02, Bristol County, Rhode Island","","1800","391","","147","","189","","160","","47","","32","","70","","","","","1657","130","5","57148","44","001","030602"
"Census Tract 309.02, Bristol County, Rhode Island","73145","2894","425","12665","393","8810","415","8345","169","4120","202","4760","53","400","48","480","","","","2794","50","15","75219","44","001","030902"
"Census Tract 306.01, Bristol County, Rhode Island","40625","1725","300","6825","290","6925","98","2655","98","2100","123","2920","44","1920","46","1010","","","","1678","18","16","61833","44","001","030601"
"Census Tract 308, Bristol County, Rhode Island","51890","2563","422","11710","261","5410","252","6540","118","1330","214","2760","81","870","95","1755","43900","2290","2360","1884","56","46","66250","44","001","030800"
"Census Tract 301, Bristol County, Rhode Island","","2029","293","","407","","353","","184","","200","","43","","0","","","","","1974","39","0","85268","44","001","030100"
"Census Tract 506, Washington County, Rhode Island","116195","4092","874","26650","313","8365","508","14610","269","5045","276","6965","42","1750","0","-666666666","","","","4013","18","48","95660","44","009","050600"
"Census Tract 511.02, Washington County, Rhode Island","","1251","230","","273","","106","","22","","86","","27","","57","","","","","1247","0","0","72547","44","009","051102"
"Census Tract 515.02, Washington County, Rhode Island","","4058","560","","452","","680","","289","","292","","139","","52","","","","","3874","40","56","82277","44","009","051502"
"Census Tract 515.03, Washington County, Rhode Island","","2112","297","","222","","426","","123","","104","","179","","12","","","","","1972","16","0","50000","44","009","051503"
"Census Tract 209.03, Kent County, Rhode Island","","2487","370","","498","","366","","322","","147","","76","","50","","","","","2421","29","29","119318","44","003","020903"
"Census Tract 211, Kent County, Rhode Island","","2595","376","","381","","238","","73","","133","","119","","0","","","","","2553","0","0","64423","44","003","021100"
"Census Tract 215.02, Kent County, Rhode Island","","2165","316","","200","","135","","159","","159","","47","","25","","","","","2157","8","0","77805","44","003","021502"
"Census Tract 224, Kent County, Rhode Island","27465","1248","256","6720","110","3025","107","1700","32","655","107","1885","44","500","34","790","","","","1189","17","27","81023","44","003","022400"
"Census Tract 201.01, Kent County, Rhode Island","79905","3361","436","13475","568","10635","372","7545","195","2470","182","3230","48","615","101","1425","","","","3232","79","0","67988","44","003","020101"
"Census Tract 204, Kent County, Rhode Island","","1321","133","","295","","184","","40","","67","","17","","5","","","","","1237","35","32","51844","44","003","020400"
"Census Tract 222.01, Kent County, Rhode Island","74855","3395","429","10285","730","18350","584","10735","455","6685","110","1285","0","-666666666","111","1775","","","","3320","34","0","91067","44","003","022201"
"Census Tract 201.02, Kent County, Rhode Island","","2652","148","","358","","532","","110","","147","","58","","33","","","","","2567","20","0","52091","44","003","020102"
"Census Tract 214.02, Kent County, Rhode Island","","2028","321","","245","","193","","118","","80","","46","","44","","53915","2040","-666666666","1989","39","0","58261","44","003","021402"
"Census Tract 212, Kent County, Rhode Island","35390","1725","272","7070","168","2935","203","3920","101","2085","37","795","95","1775","52","625","","","","1697","0","21","50680","44","003","021200"
"Census Tract 146, Providence County, Rhode Island","","3917","755","","614","","720","","280","","155","","18","","93","","","","","3827","70","0","104265","44","007","014600"
"Census Tract 132.02, Providence County, Rhode Island","100925","3244","694","23115","353","10190","683","22185","63","960","170","4965","78","990","0","-666666666","","","","3169","35","40","84844","44","007","013202"
"Census Tract 137.01, Providence County, Rhode Island","","1748","310","","283","","131","","95","","89","","51","","16","","","","","1709","39","0","59477","44","007","013701"
"Census Tract 138, Providence County, Rhode Island","","2516","366","","428","","303","","192","","270","","54","","50","","","","","2443","73","0","62500","44","007","013800"
"Census Tract 171, Providence County, Rhode Island","","2067","277","","267","","339","","119","","71","","91","","45","","","","","1786","100","66","39201","44","007","017100"
"Census Tract 181, Providence County, Rhode Island","","1142","200","","36","","108","","51","","0","","20","","28","","","","","931","20","146","31346","44","007","018100"
