"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","zip code tabulation area"
"ZCTA5 02830","","3045","727","","385","","191","","93","","203","","37","","81","","","","","2990","32","23","84970","3149","2273","112","613","1008","269","271","2273","1796","477","6255","5806","1","0","332","116","5922","3","0","422","0","44","02830"
"ZCTA5 02839","","921","118","","132","","67","","37","","0","","31","","0","","","","","855","0","44","68258","921","816","61","275","367","113","0","816","537","279","2098","1908","95","0","0","0","1908","95","0","0","0","44","02839"
"ZCTA5 02875","","294","14","","53","","33","","0","","18","","0","","0","","","","","272","0","22","160278","294","162","0","0","68","94","0","162","143","19","466","466","0","0","0","0","466","0","0","0","0","44","02875"
"ZCTA5 02807","","482","83","","77","","67","","29","","81","","23","","0","","","","","410","7","0","59423","515","440","12","174","118","85","51","440","294","146","916","859","4","0","19","27","873","18","0","32","13","44","02807"
"ZCTA5 02852","283580","10802","1543","48765","1181","30155","1597","38870","664","14430","671","12265","357","7075","82","1495","","","","10425","111","61","86625","11403","9005","528","2771","3741","1427","538","9005","6587","2418","22048","20177","146","128","517","853","21010","414","347","905","0","44","02852"
"ZCTA5 02879","262470","9739","1337","41030","1215","30875","1544","34535","770","18990","639","13135","461","8330","49","1590","","","","9234","191","106","89288","10410","8380","270","2548","3649","1350","563","8380","6224","2156","20610","18842","343","492","301","437","19260","384","635","404","0","44","02879"
"ZCTA5 02886","338260","13987","2024","56985","1866","38230","1887","41750","1018","18155","806","18810","313","4535","72","1540","","","","13619","208","17","69646","14532","12498","945","4598","4812","1660","483","12498","8294","4204","28776","26300","406","108","1217","492","26754","520","246","1354","5","44","02886"
"ZCTA5 02889","382410","14347","2570","72535","1559","41790","1427","34080","804","15290","740","18880","506","11315","97","3015","","","","13947","206","42","77783","14829","11450","445","3686","4948","1748","623","11450","8717","2733","27807","25267","628","174","655","762","25947","936","426","946","17","44","02889"
"ZCTA5 02874","","2771","477","","460","","322","","152","","244","","110","","4","","","","","2603","121","22","135514","3017","2156","23","341","1033","588","171","2156","1937","219","6045","5836","96","0","48","28","5864","116","8","48","0","44","02874"
"ZCTA5 02885","138670","5350","1002","26145","710","16190","330","7495","208","4765","323","5950","176","6490","36","520","130350","7060","610","5041","145","50","60486","5507","4857","517","1770","1651","585","334","4857","2619","2238","10461","10074","43","0","45","243","10306","152","126","59","31","44","02885"
"ZCTA5 02888","249400","10196","1749","44110","1667","35280","1077","25505","538","11600","399","12255","193","4360","136","5735","","","","9858","151","0","75011","10289","8193","436","3026","3400","748","583","8193","6314","1879","18687","16948","476","68","440","455","17356","797","128","529","23","44","02888"
"ZCTA5 02894","","355","46","","15","","0","","0","","0","","0","","0","","9350","-666666666","-666666666","355","0","0","70587","355","241","42","28","114","28","29","241","223","18","517","517","0","0","0","0","517","0","0","0","0","44","02894"
"ZCTA5 02903","86515","4361","340","11240","531","10220","561","12830","431","7350","480","5975","219","2850","149","2020","","","","2412","355","87","36347","4828","4701","1842","2068","729","62","0","4701","770","3931","10979","7281","1087","141","1351","609","7739","1387","294","1587","46","44","02903"
"ZCTA5 02908","359975","15134","2334","67255","1821","40495","2038","40760","607","8210","852","15940","477","9595","228","3610","299540","41360","9160","13052","850","196","51981","15869","12079","1715","4855","4464","894","151","12079","5355","6724","36314","23269","6407","95","1190","1597","24331","7153","704","1605","25","44","02908"
"ZCTA5 02920","363785","16217","2595","66925","2362","40070","2372","47395","912","16460","1049","20065","512","10335","319","5955","","","","15316","406","80","63523","16689","14101","1419","5753","5039","1421","469","14101","8773","5328","37165","29125","2284","220","2291","1600","30140","3156","438","2578","172","44","02920"
"ZCTA5 02833","","657","114","","40","","56","","0","","27","","0","","16","","20685","-666666666","-666666666","657","0","0","88902","657","443","32","80","105","202","24","443","362","81","1141","1095","0","0","34","12","1095","0","0","46","0","44","02833"
"ZCTA5 02863","222115","7782","914","25840","502","10150","764","17030","220","8490","318","8955","252","8160","49","760","","","","6802","472","39","32928","7878","6103","1538","2870","1198","346","151","6103","1221","4882","19411","9424","2460","196","126","1375","10296","3253","380","478","197","44","02863"
"ZCTA5 02896","164430","5485","917","27265","420","10565","658","18900","196","4305","310","7910","94","1420","36","1300","","","","5389","22","65","80885","5971","4588","266","1217","1803","827","475","4588","3685","903","12060","11490","306","0","128","113","11586","384","31","128","0","44","02896"
