,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
122,"Census Tract 168, Providence County, Rhode Island",,1363,250,,151,,110,,19,,47,,23,,39,,1291,14,0,50313,1389,1214,51,453,556,90,64,1214,788,426,3094,2563,201,5,43,100,2581,283,17,43,0,44,7,16800,,,,,92.9445644348452,1.0079193664506838,4.200988467874795,2280.392156862745,35.09060955518946,64.90939044481054,82.83775048480932,17.16224951519069,2015
123,"Census Tract 169, Providence County, Rhode Island",,1034,127,,182,,177,,84,,78,,44,,4,,1002,11,6,70804,1039,761,22,288,367,48,36,761,614,147,1951,1756,36,0,45,27,1783,63,0,45,0,44,7,16900,,,,,96.43888354186718,1.0587102983638113,2.890932982917214,3359.0909090909095,19.316688567674113,80.6833114323259,90.00512557662738,9.994874423372629,2015
124,"Census Tract 174, Providence County, Rhode Island",,1213,120,,110,,41,,54,,40,,12,,55,,1050,23,57,22601,1274,1519,356,647,423,49,44,1519,506,1013,3914,2982,409,0,326,94,3044,427,43,337,0,44,7,17400,,,,,82.41758241758241,1.805337519623234,23.436471362738644,326.685393258427,66.68861092824227,33.31138907175774,76.18804292284108,23.811957077158915,2015
125,"Census Tract 28, Providence County, Rhode Island",,2460,206,,136,,255,,187,,82,,137,,64,,2351,109,0,26532,2560,2408,535,1137,616,105,15,2408,811,1597,6351,3185,1115,78,203,385,3303,1431,314,251,0,44,7,2800,,,,,91.8359375,4.2578125,22.217607973421927,350.0934579439252,66.32059800664452,33.679401993355484,50.14958274287514,49.85041725712486,2015
126,"Census Tract 157, Providence County, Rhode Island",,1533,165,,181,,227,,42,,112,,88,,8,,1482,14,25,55746,1586,1277,37,574,449,131,86,1277,885,392,3282,2799,203,7,101,105,2904,293,38,101,0,44,7,15700,,,,,93.44262295081968,0.8827238335435058,2.8974158183241974,3351.3513513513517,30.696945967110416,69.30305403288959,85.28336380255942,14.716636197440586,2015
127,"Census Tract 107.02, Providence County, Rhode Island",,2135,358,,306,,249,,214,,31,,55,,17,,2100,28,0,64375,2204,1751,41,665,745,220,80,1751,1456,295,4165,3831,39,0,19,247,4028,105,50,70,0,44,7,10702,,,,,95.28130671506352,1.2704174228675136,2.3415191319246147,4170.731707317073,16.84751570531125,83.15248429468875,91.98079231692677,8.01920768307323,2015
128,"Census Tract 115, Providence County, Rhode Island",,3409,503,,374,,364,,233,,340,,13,,32,,3368,31,10,62115,3561,2592,107,1078,902,366,139,2592,1465,1127,6704,6081,345,6,133,65,6146,391,12,146,0,44,7,11500,,,,,94.58017410839652,0.8705419825891604,4.128086419753087,2322.429906542056,43.47993827160494,56.52006172839506,90.70704057279237,9.292959427207636,2015
129,"Census Tract 139, Providence County, Rhode Island",,1454,194,,138,,215,,244,,141,,45,,7,,1444,10,0,50139,1482,1431,114,645,449,153,70,1431,925,506,2843,2528,39,0,255,21,2549,39,0,276,0,44,7,13900,,,,,97.43589743589743,0.6747638326585695,7.966457023060797,1155.2631578947369,35.35988819007687,64.64011180992313,88.92015476609215,11.079845233907843,2015
130,"Census Tract 180, Providence County, Rhode Island",,619,49,,72,,82,,20,,27,,0,,40,,512,34,54,16433,626,1525,748,530,214,16,17,1525,123,1402,2504,2082,129,6,222,28,2110,138,15,222,0,44,7,18000,,,,,81.78913738019169,5.431309904153355,49.049180327868854,103.87700534759358,91.93442622950819,8.065573770491802,83.14696485623003,16.85303514376997,2015
131,"Census Tract 163, Providence County, Rhode Island",,1577,162,,256,,193,,100,,78,,14,,73,,1513,32,0,66159,1593,1110,46,410,472,121,61,1110,744,366,2819,1950,344,0,15,129,2042,440,0,28,16,44,7,16300,,,,,94.97802887633397,2.0087884494664157,4.1441441441441444,2313.0434782608695,32.972972972972975,67.02702702702703,69.17346576800284,30.82653423199716,2015
