,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,B19013_001E,B08006_001E,B08201_001E,B08201_002E,B25003_001E,B25003_002E,B25003_003E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,year
39,ZCTA5 02816,440305.0,16365,2577,68480.0,2235,60605.0,1619,39770.0,696,17380.0,1027,21420.0,317,11960.0,224,5200.0,,,,16172,81,25,65521.0,16770,13084,610,13084,10304,2780,44,2816,26.90528567063856,26.825644222776393,24.68682505399568,24.836309523809526,,,96.43410852713178,0.48300536672629696,4.662182818709875,2044.9180327868853,21.247324977071234,78.75267502292877,2015
40,ZCTA5 02828,,3577,474,,529,,633,,223,,110,,80,,9,,,,,3506,29,8,73214.0,3613,2940,206,2940,2369,571,44,2828,,,,,,,97.03847218378078,0.8026570716855799,7.006802721088436,1327.1844660194174,19.421768707482993,80.57823129251702,2015
41,ZCTA5 02832,,2580,453,,217,,330,,89,,72,,19,,51,,86075.0,-666666666.0,-666666666.0,2580,0,0,71042.0,2701,2028,145,2028,1392,636,44,2832,,,,,33.3624031007752,-inf,95.52017771195852,0.0,7.149901380670612,1298.6206896551726,31.360946745562128,68.63905325443787,2015
42,ZCTA5 02838,,1922,289,,214,,74,,66,,240,,0,,0,,,,,1906,16,0,58226.0,1995,1425,15,1425,763,662,44,2838,,,,,,,95.53884711779449,0.8020050125313283,1.0526315789473684,9400.0,46.45614035087719,53.54385964912281,2015
43,ZCTA5 02864,465690.0,17260,2760,87580.0,2281,52515.0,2025,48065.0,1274,25680.0,1190,22520.0,360,6590.0,41,520.0,,,,16251,505,311,75362.0,17821,13362,1053,13362,9920,3442,44,2864,26.980880648899188,27.791112874429675,22.353743558654138,18.780645161290323,,,91.19016890185736,2.83373548061276,7.880556802873821,1168.9458689458688,25.759616823828768,74.24038317617124,2015
44,ZCTA5 02878,216995.0,7835,1275,36015.0,1165,27775.0,939,20235.0,340,7710.0,578,15055.0,169,3445.0,108,2330.0,,,,7702,59,37,71901.0,8076,6670,249,6670,5293,1377,44,2878,27.695596681557117,26.14344262295082,21.84910086004691,24.765729585006692,,,95.3689945517583,0.7305596830113917,3.733133433283358,2578.714859437751,20.644677661169418,79.35532233883058,2015
45,ZCTA5 02892,,2257,441,,254,,158,,95,,284,,0,,76,,,,,2216,4,33,90905.0,2365,1749,0,1749,1601,148,44,2892,,,,,,,93.69978858350952,0.16913319238900634,0.0,inf,8.461978273299028,91.53802172670098,2015
46,ZCTA5 02893,331840.0,14587,1602,41970.0,2015,38965.0,1920,41025.0,764,11795.0,737,20560.0,329,6875.0,285,4495.0,,,,14034,316,32,49622.0,15055,12964,1201,12964,6709,6255,44,2893,22.749023102762735,22.376278683992258,19.679582712369598,25.73639774859287,,,93.21819993357688,2.0989704417137163,9.264116013576057,979.4338051623647,48.2489972230793,51.75100277692071,2015
47,ZCTA5 02895,444430.0,17075,1938,49725.0,1624,36995.0,1426,27920.0,637,11855.0,943,20630.0,565,10965.0,272,6900.0,397350.0,14675.0,16545.0,15306,257,841,36420.0,17513,17324,3273,17324,6642,10682,44,2895,26.028111273792092,24.345873104997192,19.28017450315075,20.95159151193634,25.960407683261465,57.1011673151751,87.39793296408382,1.467481299606007,18.892865389055647,429.3003360831042,61.66012468252136,38.33987531747864,2015
48,ZCTA5 02910,217265.0,10106,1552,37755.0,1401,31865.0,1326,24700.0,525,8310.0,824,12350.0,344,5170.0,194,2590.0,201245.0,12815.0,-666666666.0,9642,254,0,58163.0,10354,7801,378,7801,5306,2495,44,2910,21.498614684345934,23.57602438198442,17.833603457590492,15.0,20.871707114706492,50.45275590551181,93.12343055823837,2.453158199729573,4.845532624022561,1963.7566137566137,31.98307909242405,68.01692090757595,2015
