"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","county","tract"
"Census Tract 115, Providence County, Rhode Island","","2840","350","","544","","398","","215","","241","","27","","0","","2767","60","0","62982","2954","2632","206","1103","943","235","145","2632","1537","1095","5940","5605","222","0","75","38","5643","222","38","75","0","44","007","011500"
"Census Tract 116, Providence County, Rhode Island","","3089","614","","518","","325","","228","","279","","71","","30","","2984","105","0","89653","3171","2312","90","664","882","528","148","2312","2048","264","6302","5760","171","0","219","98","5858","171","66","251","0","44","007","011600"
"Census Tract 117.01, Providence County, Rhode Island","","2329","300","","430","","328","","233","","166","","63","","23","","2209","71","0","66323","2492","1893","120","631","699","306","137","1893","1387","506","4807","4566","94","0","25","122","4688","148","47","54","0","44","007","011701"
"Census Tract 117.02, Providence County, Rhode Island","","2170","379","","344","","153","","133","","115","","65","","33","","2133","22","6","72201","2273","1523","27","480","620","283","113","1523","1159","364","4071","3920","32","14","0","68","3988","78","22","22","0","44","007","011702"
"Census Tract 118, Providence County, Rhode Island","","3422","414","","642","","275","","239","","203","","67","","81","","3247","109","29","53914","3546","2755","160","1059","1137","310","89","2755","1838","917","6708","5620","625","0","144","79","5699","656","0","164","0","44","007","011800"
"Census Tract 119.01, Providence County, Rhode Island","","1236","159","","181","","171","","88","","14","","47","","13","","1236","0","0","41218","1236","1249","141","570","361","93","84","1249","859","390","2859","2467","215","0","34","120","2587","254","5","99","0","44","007","011901"
"Census Tract 119.02, Providence County, Rhode Island","","2399","370","","356","","328","","308","","119","","0","","0","","2387","12","0","50963","2444","2325","111","1015","874","285","40","2325","1760","565","4811","4752","0","0","13","0","4752","0","0","13","0","44","007","011902"
"Census Tract 120, Providence County, Rhode Island","63900","2932","330","7360","310","7100","348","8455","253","4140","254","3920","117","1255","147","4420","2784","116","32","66979","3051","2537","151","795","1189","252","150","2537","1849","688","6285","5586","477","0","92","0","5586","477","0","92","0","44","007","012000"
"Census Tract 121.02, Providence County, Rhode Island","","2175","207","","198","","202","","249","","132","","111","","14","","2024","87","50","41531","2243","2031","224","827","705","196","79","2031","1195","836","4570","3991","235","0","98","41","4032","235","0","98","0","44","007","012102"
"Census Tract 121.03, Providence County, Rhode Island","","1247","213","","296","","106","","56","","73","","31","","11","","1160","65","0","35341","1318","1519","144","873","419","42","41","1519","551","968","3038","2581","267","0","81","46","2627","267","10","81","0","44","007","012103"
"Census Tract 121.04, Providence County, Rhode Island","","1706","137","","302","","214","","209","","77","","56","","0","","1642","64","0","41250","1717","1800","304","740","478","217","61","1800","826","974","3973","3235","423","0","260","55","3290","478","0","260","0","44","007","012104"
"Census Tract 122, Providence County, Rhode Island","","3298","541","","445","","374","","389","","212","","59","","0","","3228","10","0","77656","3424","2711","210","649","1082","528","242","2711","2056","655","6852","6404","0","16","231","134","6538","0","150","231","0","44","007","012200"
"Census Tract 123, Providence County, Rhode Island","","2901","619","","433","","394","","253","","116","","59","","14","","2834","33","0","52845","2949","2620","120","851","923","525","201","2620","2067","553","6598","5768","80","0","163","267","6035","242","105","163","0","44","007","012300"
"Census Tract 124.01, Providence County, Rhode Island","","3137","507","","389","","449","","212","","51","","32","","15","","3087","0","0","66445","3246","2591","170","781","1176","345","119","2591","2068","523","6759","6117","80","41","475","23","6126","80","55","498","0","44","007","012401"
"Census Tract 124.02, Providence County, Rhode Island","","1277","142","","251","","283","","57","","0","","14","","31","","1138","32","36","53795","1325","1067","47","407","377","197","39","1067","824","243","2917","2476","21","0","18","14","2490","21","0","18","0","44","007","012402"
"Census Tract 125, Providence County, Rhode Island","","2077","248","","260","","313","","147","","99","","0","","61","","1958","13","31","37500","2107","2338","286","1022","763","156","111","2338","1263","1075","5626","5129","0","0","94","147","5276","90","7","94","0","44","007","012500"
"Census Tract 126.01, Providence County, Rhode Island","39850","1901","193","5960","178","5785","188","4660","107","1945","95","1140","44","630","113","1060","1492","0","0","82500","2056","684","21","177","315","161","10","684","638","46","4936","4515","155","18","94","98","4600","192","32","121","0","44","007","012601"
"Census Tract 126.02, Providence County, Rhode Island","","2805","536","","482","","349","","119","","97","","41","","26","","2777","28","0","59556","2942","2846","99","1177","1075","341","154","2846","2156","690","6396","6235","0","0","121","24","6259","0","0","145","0","44","007","012602"
"Census Tract 127.01, Providence County, Rhode Island","","2246","472","","495","","229","","155","","90","","6","","11","","2203","33","0","85610","2312","1894","248","358","635","488","165","1894","1488","406","5371","5279","7","0","29","17","5296","14","0","29","0","44","007","012701"
"Census Tract 127.02, Providence County, Rhode Island","62115","2367","360","9650","372","9160","380","8475","166","4800","82","1760","82","2220","39","725","2336","0","0","73685","2440","1897","29","660","794","277","137","1897","1682","215","4774","4521","167","0","28","58","4579","225","0","28","0","44","007","012702"
"Census Tract 128.01, Providence County, Rhode Island","","1864","329","","127","","246","","153","","97","","0","","12","","1834","0","21","67574","1912","1691","80","623","647","184","157","1691","1131","560","4212","4029","0","0","136","20","4049","0","0","156","0","44","007","012801"
"Census Tract 128.02, Providence County, Rhode Island","","1192","191","","219","","107","","37","","48","","9","","51","","1101","19","32","66767","1268","922","30","269","420","123","80","922","738","184","2446","2418","0","0","0","28","2446","0","0","0","0","44","007","012802"
"Census Tract 128.03, Providence County, Rhode Island","","2591","409","","377","","325","","118","","86","","55","","18","","2533","20","17","97000","2668","1752","8","381","719","477","167","1752","1651","101","5110","4881","34","17","40","100","4981","63","69","69","0","44","007","012803"
"Census Tract 129, Providence County, Rhode Island","","2426","419","","376","","207","","61","","27","","0","","41","","2402","0","0","56828","2525","1905","185","479","692","318","231","1905","1091","814","5006","4729","14","52","81","61","4775","24","88","96","0","44","007","012900"
"Census Tract 130.01, Providence County, Rhode Island","52400","1755","234","9170","323","7580","129","4230","131","3420","35","590","79","1610","0","-666666666","1728","0","15","87072","1778","1139","12","183","394","381","169","1139","1050","89","3551","3457","16","0","35","43","3476","47","0","35","0","44","007","013001"
"Census Tract 130.02, Providence County, Rhode Island","113310","3981","689","22175","317","9230","333","7270","262","7020","90","1465","41","1020","0","-666666666","3910","0","53","65948","4035","2633","101","601","1054","606","271","2633","2164","469","7414","7205","43","0","32","70","7275","52","35","32","0","44","007","013002"
"Census Tract 131.01, Providence County, Rhode Island","83305","2651","487","17845","312","9760","156","4130","28","905","121","3625","82","2025","52","1085","2573","10","36","80945","2724","1737","31","347","728","371","260","1737","1537","200","4685","4524","61","0","0","74","4598","94","21","0","0","44","007","013101"
"Census Tract 131.02, Providence County, Rhode Island","","2456","496","","406","","261","","202","","114","","27","","0","","2364","32","0","76972","2550","1902","48","431","877","305","241","1902","1767","135","5120","4953","0","88","0","79","5032","0","102","65","0","44","007","013102"
"Census Tract 132.01, Providence County, Rhode Island","","2189","409","","175","","185","","213","","75","","10","","44","","2151","38","0","64792","2197","1710","97","365","784","296","168","1710","1340","370","4592","4434","0","23","0","135","4569","49","33","16","0","44","007","013201"
"Census Tract 132.02, Providence County, Rhode Island","90510","2846","447","14555","352","9130","361","10350","122","3135","93","2435","27","725","0","-666666666","2753","41","31","78476","2895","1974","67","370","877","388","272","1974","1659","315","5745","5531","20","0","13","149","5668","54","34","86","0","44","007","013202"
