,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
23,ZCTA5 02838,,1498,248,,141,,72,,73,,234,,15,,19,,,,,1429,13,9,62697,1552,1351,120,1351,621,730,3495,3286,66,0,47,95,3381,122,4,82,0,44,2838,,,,,,,92.07474226804123,0.8376288659793815,8.882309400444116,1025.8333333333333,54.0340488527017,45.9659511472983,94.02002861230329,5.979971387696709,2019
24,ZCTA5 02864,471035.0,18018,2716,72155.0,2619,64570.0,2059,48995.0,794,15955.0,1181,24685.0,244,4030.0,100,2150.0,444540.0,24475.0,1680.0,17511,336,113,91806,18546,13238,854,13238,10183,3055,34797,32494,434,5,866,443,32892,610,165,920,8,44,2864,26.142468642468643,25.62792877225867,22.76550998948475,20.150877192982456,25.38632859345554,72.8422619047619,94.41928178582984,1.8117114202523457,6.451125547665811,1450.1170960187353,23.077504154706148,76.92249584529385,93.38161335747334,6.618386642526655,2019
25,ZCTA5 02878,210480.0,7559,1261,30585.0,913,23720.0,912,23535.0,382,8795.0,452,11125.0,274,7275.0,83,1110.0,,,,7494,6,38,75295,7833,6569,261,6569,5105,1464,15774,15221,180,13,132,177,15384,344,66,132,13,44,2878,27.84495303611589,24.97930082796688,24.984544049459043,25.34435261707989,,,95.6721562619686,0.07659900421294523,3.973207489724463,2416.8582375478927,22.28649718374182,77.71350281625818,96.49423101305946,3.505768986940535,2019
26,ZCTA5 02892,,2877,575,,446,,226,,51,,427,,77,,27,,,,,2787,0,0,111895,3068,1917,12,1917,1639,278,5611,5320,95,11,0,182,5502,252,27,25,0,44,2892,,,,,,,90.84093872229465,0.0,0.6259780907668232,15875.0,14.501825769431404,85.49817423056861,94.81375868829086,5.186241311709143,2019
27,ZCTA5 02893,358645.0,15147,1929,48360.0,1914,45160.0,1437,28620.0,887,17190.0,716,12175.0,359,8945.0,180,2860.0,340835.0,13925.0,2120.0,14703,221,69,55106,15542,13231,1318,13231,6908,6323,29143,25697,1161,17,886,745,26396,1419,130,1139,72,44,2893,23.677625932527892,24.335154826958107,19.71170395869191,19.64651162790698,23.181323539413725,63.009049773755656,94.60172435979925,1.4219534165487067,9.961454160683243,903.8694992412748,47.7892827450684,52.2107172549316,88.17554815907765,11.824451840922348,2019
28,ZCTA5 02895,475255.0,18593,2507,64770.0,1627,40440.0,1510,28025.0,626,13490.0,932,19155.0,642,10880.0,267,5030.0,431765.0,21355.0,8270.0,17096,323,478,42595,18940,16663,3023,16663,6058,10605,41603,30599,3988,411,2416,2231,32427,5176,999,2758,0,44,2895,25.560963803581995,25.449927431059507,19.435861423220974,19.081956797966964,25.255322882545624,66.11455108359134,90.26399155227033,1.7053854276663147,18.141991238072375,451.2074098577572,63.644001680369676,36.35599831963032,73.54998437612672,26.45001562387328,2019
29,ZCTA5 02910,287495.0,11668,1915,55285.0,1559,30610.0,1183,24860.0,537,9685.0,770,13845.0,389,9165.0,51,1080.0,243920.0,25795.0,12275.0,10973,416,108,73717,11866,8135,350,8135,5709,2426,22387,17293,1633,139,1386,896,17931,2141,399,1549,158,44,2910,24.63961261570106,24.72510074841681,20.084302325581394,19.85332182916307,22.229107810079284,62.00721153846154,92.47429630878139,3.5058149334232263,4.30239704978488,2224.285714285714,29.82175783650891,70.17824216349109,77.2457229642203,22.754277035779694,2019
30,ZCTA5 02914,218435.0,9948,1339,31490.0,1406,30580.0,1472,25605.0,474,7210.0,518,8675.0,181,4800.0,139,2240.0,,,,9074,497,221,51199,10156,8802,1384,8802,4554,4248,21487,15655,2340,35,793,1585,16784,3394,419,865,31,44,2914,21.95767993566546,22.612021857923498,16.86279547790339,19.277539341917024,,,89.34619929105946,4.893658920834974,15.723699159281981,535.9826589595376,48.261758691206545,51.738241308793455,72.8580071671243,27.141992832875694,2019
31,ZCTA5 02915,,8498,1551,,1310,,1031,,617,,447,,233,,58,,,,,8312,83,62,64495,8638,7356,667,7356,4861,2495,16660,14829,469,22,514,659,15323,945,177,641,19,44,2915,,,,,,,96.22597823570271,0.9608705718916416,9.067427949972812,1002.8485757121439,33.917890157694394,66.0821098423056,89.00960384153662,10.990396158463385,2019
32,ZCTA5 02921,,5687,850,,937,,1026,,514,,488,,120,,111,,,,,5492,91,50,102917,5948,4460,74,4460,3833,627,12243,10461,507,34,840,189,10650,585,34,951,12,44,2921,,,,,,,92.33355749831877,1.5299260255548084,1.6591928251121077,5927.0270270270275,14.058295964125561,85.94170403587444,85.44474393530997,14.555256064690028,2019
